repo_name,stars,owner,repo,sustainability_status,language,pushed_at,archived,api_status
upscayl/upscayl,1113,upscayl,upscayl,unknown,TypeScript,2025-12-19T21:39:17Z,False,success
HerbertHe/iptv-sources,1111,HerbertHe,iptv-sources,unknown,TypeScript,2025-12-26T06:07:06Z,False,success
godotengine/godot,1106,godotengine,godot,unknown,C++,2025-12-22T17:56:23Z,False,success
microsoft/promptbench,1103,microsoft,promptbench,unknown,Python,2025-10-13T06:40:00Z,False,success
CyC2018/CS-Notes,1101,CyC2018,CS-Notes,unknown,,2024-08-21T09:40:10Z,False,success
prakhar1989/awesome-courses,1100,prakhar1989,awesome-courses,unknown,,2023-05-04T12:49:34Z,False,success
Coframe/coffee,1099,Coframe,coffee,unknown,Python,2025-05-05T09:15:56Z,False,success
WuKongOpenSource/Wukong_HRM,1091,WuKongOpenSource,Wukong_HRM,unknown,Java,2023-11-06T02:06:55Z,False,success
ytdl-org/youtube-dl,1089,ytdl-org,youtube-dl,unknown,Python,2025-11-26T03:02:36Z,False,success
home-assistant/core,1089,home-assistant,core,unknown,Python,2025-12-26T06:01:12Z,False,success
WuKongOpenSource/Wukong_nocode,1088,WuKongOpenSource,Wukong_nocode,unknown,Java,2024-04-09T10:05:40Z,False,success
supabase/supabase,1088,supabase,supabase,unknown,TypeScript,2025-12-26T03:17:58Z,False,success
mckaywrigley/chatbot-ui,1085,mckaywrigley,chatbot-ui,unknown,TypeScript,2024-08-03T00:38:07Z,False,success
CopilotKit/CopilotKit,1083,CopilotKit,CopilotKit,unknown,TypeScript,2025-12-24T08:39:53Z,False,success
suno-ai/bark,1079,suno-ai,bark,unknown,Jupyter Notebook,2024-08-19T07:45:36Z,False,success
