repo_name,owner,repo,stars,language,pushed_at,archived,sustainability_status,api_status,code_review_score,has_code_of_conduct,has_contributing,has_issue_template,has_license,has_pull_request_template,has_readme,health_percentage,maintained_score,overall_score,median_issue_response_days,median_pr_review_days,total_commits,unique_contributors,forks_count,network_count,stars_count,status,watchers_count,bus_factor,contributor_diversity_gini,num_contributors
iperov/DeepFaceLive,iperov,DeepFaceLive,30270,Python,2024-11-08T03:07:42Z,True,non_sustainable,success,,False,False,False,True,False,True,42,,,0.0502546296296296,,1.0,1.0,1044,1044,30271,success,440,1.0,0.8288,8
hack4impact/flask-base,hack4impact,flask-base,3066,Python,2024-03-21T18:09:44Z,True,non_sustainable,success,6.0,True,False,False,True,True,True,75,0.0,3.1,64.04166666666667,,,,486,486,3066,success,87,3.0,0.8173,30
NVIDIA/vid2vid,NVIDIA,vid2vid,8709,Python,2022-05-17T05:09:30Z,False,non_sustainable,success,,False,False,False,True,False,True,37,,,0.0,,,,1210,1210,8709,success,243,2.0,0.4962,4
lancopku/pkuseg-python,lancopku,pkuseg-python,6691,Python,2022-11-05T13:37:41Z,False,non_sustainable,success,0.0,False,False,False,True,False,True,37,0.0,2.7,0.0,,,,987,987,6691,success,201,2.0,0.6017,6
karpathy/arxiv-sanity-preserver,karpathy,arxiv-sanity-preserver,5504,Python,2021-11-27T22:20:55Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,8.837997685185185,,,,1344,1344,5504,success,165,1.0,0.8549,18
yfeng95/PRNet,yfeng95,PRNet,5013,Python,2022-07-25T23:50:26Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,90.04417824074073,,,,948,948,5013,success,182,1.0,0.6974,4
byt3bl33d3r/CrackMapExec,byt3bl33d3r,CrackMapExec,9010,Python,2023-12-06T17:09:42Z,True,non_sustainable,success,0.0,False,False,False,True,False,True,57,0.0,2.5,1.3433101851851852,,,,1702,1702,9010,success,302,4.0,0.8937,81
minimaxir/textgenrnn,minimaxir,textgenrnn,4933,Python,2022-07-17T19:07:49Z,False,non_sustainable,success,8.0,False,False,False,True,False,True,42,0.0,2.4,0.5969444444444445,,,,742,742,4933,success,133,2.0,0.8133,16
INTERMT/Awesome-PyTorch-Chinese,INTERMT,Awesome-PyTorch-Chinese,4656,Python,2019-08-14T03:04:28Z,False,non_sustainable,success,,False,False,False,True,False,True,42,,,,,,,836,836,4656,success,96,1.0,1.0,1
locuslab/TCN,locuslab,TCN,4457,Python,2022-03-28T16:33:16Z,False,non_sustainable,success,,False,False,False,True,False,True,37,,,9.88741898148148,,,,902,902,4457,success,90,1.0,0.4375,2
