repo_name,stars,owner,repo,sustainability_status
juanfont/headscale,741,juanfont,headscale,unknown
guoyww/AnimateDiff,740,guoyww,AnimateDiff,unknown
svc-develop-team/so-vits-svc,737,svc-develop-team,so-vits-svc,unknown
shidahuilang/shuyuan,736,shidahuilang,shuyuan,unknown
YueChan/Live,736,YueChan,Live,unknown
syncthing/syncthing,729,syncthing,syncthing,unknown
nuxt/nuxt,726,nuxt,nuxt,unknown
sveltejs/svelte,726,sveltejs,svelte,unknown
mistralai/megablocks-public,726,mistralai,megablocks-public,unknown
honojs/hono,725,honojs,hono,unknown
mrdoob/three.js,724,mrdoob,three.js,unknown
IceWhaleTech/CasaOS,721,IceWhaleTech,CasaOS,unknown
remotion-dev/github-unwrapped-2023,720,remotion-dev,github-unwrapped-2023,unknown
fanmingming/live,719,fanmingming,live,unknown
OpenBMB/XAgent,718,OpenBMB,XAgent,unknown
vitejs/vite,718,vitejs,vite,unknown
jesseduffield/lazygit,716,jesseduffield,lazygit,unknown
lyogavin/Anima,716,lyogavin,Anima,unknown
