has_code_of_conduct,has_contributing,has_license,has_readme,has_issue_template,has_pull_request_template,health_percentage,api_status,repo_name,owner,repo,overall_score,maintained_score,code_review_score
False,False,False,True,False,False,28,success,brunnolou/react-morph,brunnolou,react-morph,1.3,0.0,0.0
True,True,True,True,False,False,62,success,facebookarchive/redux-react-hook,facebookarchive,redux-react-hook,,,
False,False,True,True,False,False,42,success,beizhedenglong/rough-charts,beizhedenglong,rough-charts,2.5,0.0,0.0
True,True,True,True,False,True,75,success,meetalva/alva,meetalva,alva,2.8,0.0,8.0
True,True,False,True,False,True,62,success,expo/expo-cli,expo,expo-cli,2.1,0.0,2.0
False,False,True,True,False,True,50,success,Qihoo360/wayne,Qihoo360,wayne,2.6,0.0,6.0
True,True,True,True,False,False,62,success,alephjs/aleph.js,alephjs,aleph.js,2.1,0.0,1.0
False,False,True,True,False,False,37,success,Elderjs/elderjs,Elderjs,elderjs,2.6,0.0,0.0
False,False,True,True,False,False,57,success,sentialx/multrin,sentialx,multrin,,,
False,True,True,True,False,False,57,success,pedronauck/react-adopt,pedronauck,react-adopt,2.1,0.0,1.0
True,False,True,True,True,False,62,success,microsoft/code-push,microsoft,code-push,5.3,0.0,9.0
True,True,True,True,True,True,85,success,joe-bell/plaiceholder,joe-bell,plaiceholder,2.8,0.0,0.0
True,True,True,True,False,False,75,success,microsoft/vscode-go,microsoft,vscode-go,,,
False,False,True,True,False,False,37,success,appbaseio/mirage,appbaseio,mirage,,,
False,True,True,True,True,False,50,success,ide-stories/vscode-stories,ide-stories,vscode-stories,2.4,0.0,5.0
True,False,True,True,False,False,62,success,microsoft/frontend-bootcamp,microsoft,frontend-bootcamp,4.0,0.0,7.0
False,False,True,True,False,True,57,success,songquanpeng/one-api,songquanpeng,one-api,,,
True,True,True,True,False,True,75,success,gethomepage/homepage,gethomepage,homepage,,,
False,False,False,False,False,False,12,success,100xdevs-cohort-2/assignments,100xdevs-cohort-2,assignments,,,
True,True,True,True,False,True,87,success,docsifyjs/docsify,docsifyjs,docsify,5.5,10.0,7.0
