repo_name,stars
TeamNewPipe/NewPipe,602
exelban/stats,602
HqWu-HITCS/Awesome-Chinese-LLM,601
netbootxyz/netboot.xyz,601
ezshine/AwesomeSites,600
microsoft/DeepSpeed,599
lllyasviel/ControlNet,599
s0md3v/roop,599
devv-ai/devv,599
ExpLangcn/NucleiTP,597
SqueezeAILab/LLMCompiler,597
toeverything/AFFiNE,597
facundoolano/feedi,596
StarRocks/starrocks,595
wuyouzhuguli/SpringAll,595
imoneoi/openchat,594
Loyalsoldier/clash-rules,593
01-ai/Yi,593
open-compass/MixtralKit,593
SillyTavern/SillyTavern,591
alibaba-damo-academy/FunASR,589
PaddlePaddle/PaddleOCR,589
Eugeny/tabby,587
openai/CLIP,587
prasanthrangan/hyprdots,586
blackmatrix7/ios_rule_script,586
nextui-org/nextui,586
dataelement/bisheng,585
Light-City/CPlusPlusThings,584
microsoft/TypeScript,583
Whisky-App/Whisky,583
marticliment/WingetUI,582
TG-ToolsFree/Telegram-Adder-Scraper-BulkMessageSender-Forwarder-FakeViews-Reporter-ChannelCopy_All-In-1-Tool-2023,581
spyboy-productions/CloakQuest3r,581
ltdrdata/ComfyUI-Manager,580
3b1b/manim,580
modood/Administrative-divisions-of-China,579
hiteshchoudhary/chai-backend,578
coreybutler/nvm-windows,578
m-bain/whisperX,578
charmbracelet/bubbletea,578
aymenfurter/microagents,576
srush/Tensor-Puzzles,575
romkatv/powerlevel10k,574
drizzle-team/drizzle-orm,574
bregman-arie/devops-exercises,574
sickcodes/Docker-OSX,574
itgoyo/TelegramGroup,574
omnivore-app/omnivore,573
isno/theByteBook,573
sunface/rust-course,571
FFmpeg/FFmpeg,570
elysiajs/elysia,570
go-gost/gost,570
tisfeng/Easydict,569
lyswhut/lx-music-mobile,566
pppscn/SmsForwarder,565
vuejs/vue,565
Bin-Huang/chatbox,564
bensadeh/tailspin,564
python/cpython,562
huggingface/peft,562
kellyjonbrazil/jc,561
caddyserver/caddy,561
tokio-rs/axum,560
nightcca/CC-NIGHT,559
ryanmcdermott/clean-code-javascript,558
dotnet/eShop,558
ashishps1/awesome-low-level-design,557
streamlit/streamlit,556
penxio/penx,556
guidance-ai/guidance,554
gohugoio/hugo,553
kingToolbox/WindTerm,553
sczhou/Upscale-A-Video,548
laurent22/joplin,546
jgraph/drawio-desktop,545
OwO-Network/DeepLX,544
expo/expo,543
krahets/LeetCode-Book,542
bannedbook/fanqiang,541
Dao-AILab/flash-attention,540
tteck/Proxmox,540
FedML-AI/FedML,540
sh-lee-prml/HierSpeechpp,540
enaqx/awesome-react,538
mengzehe/TVBox,538
o0HalfLife0o/TVBoxOSC,536
UberGuidoZ/Flipper,534
mui/material-ui,534
electron/electron,533
chat2db/Chat2DB,532
CodeWithHarry/Sigma-Web-Dev-Course,530
photoprism/photoprism,530
